,Topic,Count
1,0,377
2,1,358
3,2,322
4,3,318
5,4,293
6,5,278
7,6,262
8,7,252
9,8,249
10,9,235
11,10,232
12,11,229
13,12,218
14,13,209
15,14,203
16,15,202
17,16,167
18,17,164
19,18,152
21,19,151
20,20,151
22,21,150
23,22,144
24,23,135
25,24,130
26,25,126
27,26,123
28,27,123
29,28,122
30,29,119
31,30,118
32,31,117
33,32,117
34,33,116
35,34,114
36,35,106
37,36,105
38,37,105
39,38,102
40,39,101
41,40,100
43,41,94
42,42,94
44,43,92
45,44,89
46,45,86
47,46,86
48,47,85
49,48,79
50,49,78
51,50,75
52,51,70
55,52,69
54,53,69
53,54,69
56,55,67
57,56,67
58,57,67
59,58,65
60,59,64
61,60,62
62,61,61
63,62,60
64,63,57
65,64,55
66,65,52
68,68,51
69,66,51
67,67,51
70,69,50
71,70,49
72,71,48
73,72,47
74,73,45
75,74,45
77,75,42
76,76,42
78,77,41
79,78,41
80,79,40
81,80,39
82,81,38
83,82,36
84,83,36
85,84,36
86,85,35
